"","fk_decision_rule_id","fk_factor_id","week"
"1",4,6,28
"2",4,4,2
"3",2,2,37
"4",4,4,31
"5",6,6,28
"6",6,3,43
"7",5,2,3
"8",7,4,27
"9",4,4,1
"10",9,1,34
"11",2,5,46
"12",5,4,36
"13",1,2,43
"14",6,4,3
"15",1,1,43
"16",8,6,22
"17",7,4,41
"18",9,4,14
"19",6,6,15
"20",9,5,12
"21",2,6,12
"22",7,6,22
"23",8,3,48
"24",3,1,41
"25",7,4,10
"26",2,6,25
"27",10,2,46
"28",3,4,21
"29",5,3,49
"30",7,6,19
"31",8,5,15
"32",3,2,21
"33",1,4,28
"34",1,2,42
"35",2,2,39
"36",4,5,31
"37",7,5,39
"38",8,5,13
"39",8,4,3
"40",7,3,34
"41",9,1,14
"42",6,5,36
"43",6,2,32
"44",9,2,26
"45",9,2,33
"46",6,6,47
"47",9,5,16
"48",9,4,50
"49",2,3,39
"50",2,1,39
"51",1,5,4
"52",2,1,35
"53",9,4,31
"54",7,5,13
"55",2,4,39
"56",10,1,40
"57",3,3,24
"58",3,5,33
"59",1,5,30
"60",2,4,44
"61",4,3,13
"62",8,2,1
"63",7,3,26
"64",5,3,34
"65",4,5,38
"66",10,5,39
"67",2,1,22
"68",1,5,19
"69",7,3,9
"70",2,3,25
"71",3,5,30
"72",9,5,6
"73",1,1,32
"74",4,6,9
"75",8,1,44
"76",3,5,33
"77",9,2,39
"78",2,1,13
"79",3,3,5
"80",7,5,22
"81",6,6,34
"82",9,4,30
"83",2,2,4
"84",2,6,8
"85",4,5,8
"86",6,5,18
"87",5,2,9
"88",10,3,38
"89",1,4,45
"90",2,2,29
"91",2,4,22
"92",5,3,24
"93",1,3,27
"94",3,6,11
"95",3,4,2
"96",8,1,11
"97",9,1,50
"98",6,1,28
"99",9,6,9
"100",4,3,37
"101",3,3,43
"102",2,4,10
"103",4,5,50
"104",10,5,35
"105",9,2,23
"106",4,3,14
"107",5,5,20
"108",8,1,27
"109",4,6,43
"110",7,3,42
"111",3,1,34
"112",2,4,29
"113",6,3,38
"114",6,4,45
"115",2,3,8
"116",3,6,37
"117",3,3,32
"118",4,2,50
"119",7,2,33
"120",8,4,29
"121",6,2,24
"122",6,3,9
"123",3,5,28
"124",4,2,52
"125",5,2,17
"126",6,2,23
"127",2,4,31
"128",7,4,7
"129",4,4,37
"130",6,5,23
"131",1,5,25
"132",2,4,51
"133",2,2,41
"134",10,6,2
"135",5,5,9
"136",6,3,39
"137",7,3,40
"138",2,5,43
"139",3,1,27
"140",8,4,13
"141",9,2,45
"142",2,5,9
"143",9,2,52
"144",3,1,43
"145",5,2,52
"146",6,2,22
"147",6,2,2
"148",4,5,26
"149",5,5,16
"150",9,6,45
"151",8,2,52
"152",3,4,41
"153",8,3,18
"154",6,2,22
"155",5,6,31
"156",3,3,45
"157",9,5,28
"158",3,6,26
"159",1,3,29
"160",7,5,48
"161",5,5,25
"162",4,5,42
"163",8,3,52
"164",6,5,8
"165",5,3,27
"166",3,2,9
"167",10,2,23
"168",6,2,23
"169",3,5,11
"170",6,4,46
"171",8,5,34
"172",2,5,50
"173",7,4,42
"174",5,2,31
"175",5,3,31
"176",3,6,9
"177",2,1,18
"178",7,1,39
"179",10,2,11
"180",8,4,14
"181",8,2,6
"182",8,6,23
"183",5,2,29
"184",7,6,42
