"","fund_id","fk_manager_id","fund_type","amount"
"1",1,3,"specialty",1.57
"2",2,19,"fixed income",1.81
"3",3,7,"money market",0.98
"4",4,6,"specialty",1.31
"5",5,5,"specialty",1.97
"6",6,13,"specialty",1.29
"7",7,14,"money market",2.15
"8",8,2,"equity",2.47
"9",9,12,"equity",2.13
"10",10,16,"money market",1.65
"11",11,7,"specialty",2.71
"12",12,2,"money market",2.05
"13",13,15,"specialty",1.28
"14",14,1,"specialty",1.72
"15",15,12,"equity",2.59
"16",16,8,"specialty",2.43
"17",17,4,"money market",1.55
"18",18,5,"equity",2.36
"19",19,5,"fixed income",1.21
"20",20,6,"money market",2.54
"21",21,7,"money market",2.14
"22",22,15,"specialty",1.44
"23",23,13,"equity",2.04
"24",24,8,"equity",2.07
"25",25,16,"fixed income",1.89
"26",26,5,"fixed income",0.95
"27",27,11,"money market",1.12
"28",28,2,"specialty",0.97
"29",29,13,"money market",2.48
"30",30,18,"specialty",2.91
"31",31,16,"money market",1.32
"32",32,15,"fixed income",2.48
"33",33,8,"money market",3.26
"34",34,2,"equity",1.86
"35",35,9,"equity",1.93
"36",36,1,"equity",2.8
"37",37,15,"money market",1.92
"38",38,2,"equity",2.93
"39",39,9,"specialty",1.77
"40",40,9,"money market",2.57
"41",41,14,"fixed income",1.48
"42",42,5,"equity",1.45
"43",43,19,"money market",2.39
"44",44,2,"money market",1.44
"45",45,13,"equity",2.59
"46",46,4,"specialty",2.9
"47",47,9,"specialty",2.46
"48",48,8,"money market",1.14
"49",49,17,"money market",2.64
"50",50,1,"money market",3.07
"51",51,20,"money market",1.07
"52",52,15,"money market",1.91
"53",53,2,"equity",1.25
"54",54,19,"fixed income",1.25
"55",55,3,"money market",2.46
"56",56,10,"specialty",2.65
"57",57,11,"money market",0.96
"58",58,4,"equity",1.58
"59",59,15,"equity",2.63
"60",60,13,"specialty",1.46
"61",61,12,"money market",1.7
"62",62,6,"fixed income",3.01
"63",63,10,"specialty",2.45
"64",64,18,"equity",2.25
"65",65,19,"equity",2.34
"66",66,7,"equity",1.33
"67",67,12,"equity",2.32
"68",68,16,"specialty",2.75
"69",69,15,"equity",2.08
"70",70,10,"fixed income",2.22
"71",71,2,"specialty",2.22
"72",72,16,"money market",2
"73",73,7,"equity",1
"74",74,14,"fixed income",2.12
"75",75,9,"money market",1.58
"76",76,2,"fixed income",1.65
"77",77,5,"equity",1.19
"78",78,17,"specialty",1.66
"79",79,5,"fixed income",2.68
"80",80,6,"equity",3.11
"81",81,17,"money market",1.3
"82",82,16,"equity",2.19
"83",83,16,"specialty",2.32
"84",84,7,"fixed income",2.23
"85",85,8,"money market",2.42
"86",86,13,"equity",1.77
"87",87,14,"specialty",1.41
"88",88,17,"equity",1.8
"89",89,8,"equity",1.72
"90",90,13,"equity",2.56
"91",91,4,"equity",1.42
"92",92,15,"fixed income",3.06
"93",93,19,"specialty",0.64
"94",94,9,"specialty",0.81
"95",95,10,"specialty",2.2
"96",96,11,"equity",2.53
"97",97,16,"equity",2.47
"98",98,5,"equity",1.38
"99",99,18,"specialty",1.77
"100",100,12,"equity",2.53
"101",101,11,"specialty",1.55
"102",102,13,"equity",2.56
"103",103,14,"money market",2.32
"104",104,9,"equity",1.67
"105",105,13,"equity",2.8
"106",106,9,"equity",2.25
"107",107,12,"equity",1.67
"108",108,11,"specialty",1.57
"109",109,2,"specialty",1.5
"110",110,9,"equity",2.22
"111",111,12,"fixed income",1.67
"112",112,18,"equity",2.32
"113",113,17,"equity",2.24
"114",114,4,"equity",1.42
"115",115,8,"money market",1.92
"116",116,4,"equity",1.85
"117",117,15,"fixed income",1.51
"118",118,2,"specialty",2.45
"119",119,10,"equity",2.88
