"","week","fk_fund_id","fk_decision_id","weekly_return"
"1",1,1,3,0.038
"2",1,2,4,0
"3",1,3,6,-0.088
"4",1,4,9,0.031
"5",1,5,3,0.129
"6",1,6,9,0.189
"7",1,7,10,-0.107
"8",1,8,7,0.005
"9",1,9,7,0.146
"10",1,10,2,-0.081
"11",1,11,3,-0.223
"12",1,12,3,-0.064
"13",1,13,7,-0.067
"14",1,14,4,0.035
"15",1,15,8,-0.01
"16",1,16,5,0.053
"17",1,17,7,-0.012
"18",1,18,10,0.067
"19",1,19,4,-0.007
"20",1,20,8,0.149
"21",1,21,9,-0.044
"22",1,22,3,0.059
"23",1,23,7,-0.058
"24",1,24,2,0.051
"25",1,25,3,0.025
"26",1,26,4,-0.138
"27",1,27,1,0.016
"28",1,28,4,0.148
"29",1,29,9,0.098
"30",1,30,4,0.044
"31",1,31,5,-0.089
"32",1,32,6,0.147
"33",1,33,5,0.038
"34",1,34,3,-0.015
"35",1,35,8,0.194
"36",1,36,7,-0.047
"37",1,37,8,0.06
"38",1,38,2,0.158
"39",1,39,8,0.09
"40",1,40,5,-0.001
"41",1,41,8,-0.012
"42",1,42,7,0.066
"43",1,43,8,0.081
"44",1,44,6,0.032
"45",1,45,6,0.162
"46",1,46,8,0.023
"47",1,47,1,-0.04
"48",1,48,5,0.084
"49",1,49,8,-0.19
"50",1,50,7,0.069
"51",1,51,5,0.08
"52",1,52,9,0.008
"53",1,53,5,-0.082
"54",1,54,3,-0.009
"55",1,55,2,0.185
"56",1,56,2,-0.044
"57",1,57,4,-0.203
"58",1,58,6,0.111
"59",1,59,7,-0.02
"60",1,60,5,-0.021
"61",1,61,9,-0.092
"62",1,62,4,0.028
"63",1,63,5,0.1
"64",1,64,4,-0.029
"65",1,65,7,-0.031
"66",1,66,3,0.14
"67",1,67,5,0.005
"68",1,68,8,0.014
"69",1,69,2,-0.033
"70",1,70,9,0.12
"71",1,71,4,-0.069
"72",1,72,9,0.115
"73",1,73,4,0.111
"74",1,74,4,-0.017
"75",1,75,5,0.115
"76",1,76,9,0.129
"77",1,77,9,0.088
"78",1,78,5,0.232
"79",1,79,8,-0.166
"80",1,80,10,-0.086
"81",1,81,5,-0.108
"82",1,82,7,0.047
"83",1,83,5,0.188
"84",1,84,4,0.198
"85",1,85,8,0.079
"86",1,86,3,0.118
"87",1,87,7,0.016
"88",1,88,2,0.077
"89",1,89,3,0.068
"90",1,90,2,-0.046
"91",1,91,3,0.001
"92",1,92,2,0.017
"93",1,93,7,0.169
"94",1,94,9,-0.074
"95",1,95,8,-0.181
"96",1,96,8,0.107
"97",1,97,5,-0.052
"98",1,98,5,-0.014
"99",1,99,8,0.12
"100",1,100,6,-0.046
"101",1,101,7,-0.004
"102",1,102,4,0.18
"103",1,103,3,0.083
"104",1,104,10,0.084
"105",1,105,7,0.016
"106",1,106,3,-0.084
"107",1,107,2,-0.12
"108",1,108,5,0.008
"109",1,109,9,0.23
"110",1,110,6,0.052
"111",1,111,10,0.046
"112",1,112,8,0.063
"113",1,113,4,-0.009
"114",1,114,5,-0.11
"115",1,115,2,0.298
"116",1,116,1,-0.012
"117",1,117,7,0
"118",1,118,2,-0.149
"119",1,119,5,0.005
"120",1,120,7,0.005
"121",1,121,10,0.004
"122",1,122,5,-0.149
"123",1,123,5,0.208
"124",1,124,3,0.206
"125",1,125,8,0.099
"126",1,126,5,-0.08
"127",1,127,6,0.101
"128",1,128,3,0.005
"129",1,129,3,-0.002
"130",1,130,6,0.166
"131",1,131,6,-0.093
"132",1,132,2,-0.021
"133",1,133,1,-0.043
"134",1,134,7,0.032
"135",1,135,9,-0.127
"136",1,136,6,-0.04
"137",1,137,6,0.102
"138",1,138,6,0.077
"139",1,139,10,-0.067
"140",1,140,6,0.086
"141",1,141,7,-0.213
"142",1,142,6,-0.004
"143",1,143,3,0.101
"144",1,144,3,-0.036
"145",1,145,8,0.026
"146",1,146,5,-0.129
"147",1,147,3,0.115
"148",1,148,8,-0.155
"149",1,149,2,-0.002
"150",1,150,9,0.004
"151",1,151,7,0.036
"152",1,152,6,-0.052
"153",1,153,4,0.213
"154",1,154,5,-0.113
"155",1,155,6,0.055
"156",1,156,3,-0.264
"157",1,157,6,0.03
"158",1,158,2,0.081
"159",1,159,3,-0.078
"160",1,160,3,0.1
"161",1,161,4,0.063
"162",1,162,9,0.128
"163",1,163,5,-0.054
"164",1,164,8,-0.067
"165",1,165,9,-0.147
"166",1,166,5,-0.002
"167",1,167,2,-0.104
"168",1,168,4,0.099
"169",1,169,8,0.037
"170",1,170,4,0.249
"171",1,171,7,-0.086
"172",1,172,9,0.148
"173",1,173,9,-0.023
"174",1,174,5,-0.116
"175",1,175,4,0.087
"176",1,176,9,-0.113
"177",1,177,7,-0.076
"178",1,178,8,-0.043
"179",1,179,6,0.051
"180",1,180,9,-0.07
"181",1,181,4,0.138
"182",1,182,3,-0.09
"183",1,183,9,0.052
"184",1,184,6,0.044
"185",1,185,9,-0.077
"186",1,186,3,-0.013
"187",1,187,8,-0.036
"188",1,188,8,0.126
"189",1,189,9,0.186
"190",1,190,6,-0.074
"191",1,191,7,0.123
"192",1,192,5,0.022
"193",1,193,2,-0.167
"194",1,194,9,-0.046
"195",1,195,4,0.076
"196",1,196,6,0.045
"197",1,197,2,-0.214
"198",1,198,9,0.088
"199",1,199,4,0.096
"200",1,200,8,0
"201",1,201,3,-0.041
"202",1,202,3,0.227
"203",1,203,6,0.021
"204",1,204,3,0.029
"205",1,205,3,-0.082
"206",1,206,6,-0.104
"207",1,207,6,-0.122
"208",1,208,2,-0.012
"209",1,209,3,0.166
"210",1,210,7,0.205
"211",1,211,10,0.187
"212",1,212,2,0.16
"213",1,213,8,0.006
"214",1,214,10,-0.092
"215",1,215,8,-0.003
"216",1,216,4,-0.211
"217",1,217,7,-0.001
"218",1,218,10,0.196
"219",1,219,10,0.043
"220",1,220,4,0.14
"221",1,221,3,0.079
"222",1,222,2,-0.048
"223",1,223,4,0.204
"224",1,224,6,0.022
"225",1,225,9,-0.068
"226",1,226,6,0.037
"227",1,227,3,-0.122
"228",1,228,1,0.116
"229",1,229,5,0.08
"230",1,230,9,-0.005
"231",1,231,4,-0.019
"232",1,232,2,0.124
"233",1,233,4,-0.076
"234",1,234,7,-0.068
"235",1,235,5,0.072
"236",1,236,7,-0.015
"237",1,237,7,0.123
"238",1,238,6,0.01
"239",1,239,5,0.149
"240",1,240,5,0.08
"241",1,241,4,-0.195
"242",1,242,6,-0.104
"243",1,243,9,0.158
"244",1,244,2,0.099
"245",1,245,5,-0.067
"246",1,246,3,-0.105
"247",1,247,5,0.133
"248",1,248,2,-0.051
"249",1,249,5,0.21
"250",1,250,9,0.207
"251",1,251,8,-0.115
"252",1,252,9,-0.055
"253",1,253,5,-0.095
"254",1,254,6,0.097
"255",1,255,5,-0.099
"256",1,256,2,-0.174
"257",1,257,3,0.232
"258",1,258,5,0.131
"259",1,259,4,0.112
"260",1,260,9,-0.036
"261",1,261,6,0.029
"262",1,262,4,0.092
"263",1,263,4,-0.098
"264",1,264,8,0.018
"265",1,265,7,0.048
"266",1,266,2,0.199
"267",1,267,2,0.094
"268",1,268,8,0.158
"269",1,269,7,0.044
"270",1,270,3,-0.081
"271",1,271,2,-0.004
"272",1,272,2,-0.136
"273",1,273,4,0.123
"274",1,274,3,0.172
"275",1,275,4,0.024
"276",1,276,3,-0.068
"277",1,277,3,0.139
"278",1,278,3,0.044
"279",1,279,5,-0.009
"280",1,280,8,0.142
"281",1,281,1,-0.046
"282",1,282,6,0.145
"283",1,283,9,-0.054
"284",1,284,4,0.069
"285",1,285,1,0.119
"286",1,286,2,-0.104
"287",1,287,4,0.07
"288",1,288,2,0.019
"289",1,289,2,0.098
"290",1,290,3,-0.049
"291",1,291,3,0.021
"292",1,292,2,0.168
"293",1,293,10,0.047
"294",1,294,4,0.112
"295",1,295,6,0.008
"296",1,296,7,-0.073
"297",1,297,2,0.029
"298",1,298,2,-0.092
"299",1,299,1,-0.23
"300",1,300,9,0.147
"301",1,301,7,-0.079
"302",1,302,2,-0.153
"303",1,303,5,0.13
"304",1,304,5,0.029
"305",1,305,4,-0.03
"306",1,306,10,0.012
"307",1,307,3,-0.013
"308",1,308,8,0.13
"309",1,309,2,0.103
"310",1,310,5,-0.143
"311",1,311,2,0.065
"312",1,312,3,0.103
"313",1,313,9,0.097
"314",1,314,7,-0.212
"315",1,315,3,0.006
"316",1,316,5,0.228
"317",1,317,2,0.11
"318",1,318,4,-0.141
"319",1,319,10,-0.136
"320",1,320,7,0.079
"321",1,321,7,0.013
"322",1,322,4,0.126
"323",1,323,5,0.059
"324",1,324,10,0.038
"325",1,325,9,0.048
"326",1,326,10,0.047
"327",1,327,8,-0.097
"328",1,328,8,0.265
"329",1,329,3,-0.111
"330",1,330,8,0.028
"331",1,331,10,-0.024
"332",1,332,4,0.21
"333",1,333,5,0.131
"334",1,334,8,-0.026
"335",1,335,2,0.051
"336",1,336,4,0.147
"337",1,337,5,0.254
"338",1,338,2,0.06
"339",1,339,6,-0.074
"340",1,340,10,-0.068
"341",1,341,10,0.231
"342",1,342,3,-0.177
"343",1,343,6,0.336
"344",1,344,4,0.004
"345",1,345,7,-0.015
"346",1,346,3,0.046
"347",1,347,5,0.123
"348",1,348,3,0.06
"349",1,349,4,-0.166
"350",1,350,8,0.065
"351",1,351,5,0.075
"352",1,352,2,0.096
"353",1,353,8,-0.073
"354",1,354,5,-0.207
"355",1,355,10,-0.002
"356",1,356,4,-0.064
"357",1,357,9,-0.047
"358",1,358,2,-0.065
"359",1,359,9,-0.01
"360",1,360,5,-0.001
"361",1,361,2,0.11
"362",1,362,4,0.129
"363",1,363,9,-0.049
"364",1,364,3,-0.001
"365",1,365,6,0.066
"366",1,366,9,0.17
"367",1,367,2,0.024
"368",1,368,7,-0.14
"369",1,369,7,0.053
"370",1,370,5,0.018
"371",1,371,5,0.207
"372",1,372,6,0.064
"373",1,373,9,-0.032
"374",1,374,3,-0.014
"375",1,375,3,-0.021
"376",1,376,5,0.049
"377",1,377,4,0.048
"378",1,378,9,0.122
"379",1,379,3,0.062
"380",1,380,5,-0.007
"381",1,381,5,-0.064
"382",1,382,6,0.093
"383",1,383,7,0.024
"384",1,384,10,0.048
"385",1,385,3,0.14
"386",1,386,3,0.205
"387",1,387,8,-0.065
"388",1,388,8,0.194
"389",1,389,2,-0.057
"390",1,390,10,0.057
"391",1,391,2,0.052
"392",1,392,2,0.002
"393",1,393,9,0.169
"394",1,394,6,-0.036
"395",1,395,2,0.096
"396",1,396,4,0.029
"397",1,397,7,-0.063
"398",1,398,4,0.151
"399",1,399,4,-0.179
"400",1,400,2,-0.023
"401",1,401,7,-0.124
"402",1,402,3,0.049
"403",1,403,10,0.056
"404",1,404,9,-0.082
"405",1,405,9,0.095
"406",1,406,8,-0.073
"407",1,407,4,0.096
"408",1,408,8,0.054
"409",1,409,1,0.102
"410",1,410,9,-0.064
"411",1,411,10,0.04
"412",1,412,4,-0.016
"413",1,413,8,-0.117
"414",1,414,8,0.045
"415",1,415,7,0.207
"416",1,416,5,-0.035
"417",1,417,5,0.01
"418",1,418,4,0.099
"419",1,419,7,0.034
"420",1,420,8,0.224
"421",1,421,5,0.104
"422",1,422,6,0.262
"423",1,423,7,0.065
"424",1,424,2,-0.083
"425",1,425,4,0.072
"426",1,426,5,-0.062
"427",1,427,2,-0.071
"428",1,428,9,0.011
"429",1,429,9,0.123
"430",1,430,9,0.064
"431",1,431,9,0.111
"432",1,432,2,0.122
"433",1,433,4,0.013
"434",1,434,6,-0.21
"435",1,435,2,0.11
"436",1,436,8,0.247
"437",1,437,8,0.036
"438",1,438,1,-0.105
"439",1,439,5,-0.007
"440",1,440,9,-0.063
"441",1,441,1,0.026
"442",1,442,4,0.098
"443",1,443,6,0.117
"444",1,444,6,0.054
"445",1,445,3,-0.063
"446",1,446,5,0.111
"447",1,447,4,0.165
"448",1,448,9,0.255
"449",1,449,2,-0.019
"450",1,450,2,0.077
"451",1,451,10,0.149
"452",1,452,5,0.018
"453",1,453,4,0.082
"454",1,454,3,0.051
"455",1,455,1,0.017
"456",1,456,7,0.047
"457",1,457,6,0.126
"458",1,458,10,0.071
"459",1,459,6,-0.017
"460",1,460,2,-0.194
"461",1,461,2,-0.05
"462",1,462,5,0.028
"463",1,463,1,-0.221
"464",1,464,5,0.251
"465",1,465,3,-0.119
"466",1,466,9,-0.086
"467",1,467,7,0.176
"468",1,468,2,-0.189
"469",1,469,5,0.104
"470",1,470,7,-0.004
"471",1,471,5,0.076
"472",1,472,10,0.118
"473",1,473,7,-0.066
"474",1,474,5,-0.041
"475",1,475,2,-0.27
"476",1,476,3,-0.066
"477",1,477,9,0.068
"478",1,478,5,0.081
"479",1,479,5,0.233
"480",1,480,7,0.036
"481",1,481,8,0.076
"482",1,482,2,0.037
"483",1,483,9,-0.019
"484",1,484,10,0.105
"485",1,485,6,0.076
"486",1,486,6,0.043
"487",1,487,3,-0.052
"488",1,488,1,0.026
"489",1,489,9,0.108
"490",1,490,2,0.098
"491",1,491,1,-0.018
"492",1,492,9,-0.037
"493",1,493,4,0.081
"494",1,494,2,0.135
"495",1,495,5,0.042
"496",1,496,5,-0.001
"497",1,497,5,-0.058
"498",1,498,6,-0.012
"499",1,499,9,-0.118
"500",1,500,1,-0.04
"501",1,501,6,0.143
"502",1,502,7,0.141
"503",1,503,7,-0.057
"504",1,504,7,0.051
"505",1,505,5,0.037
"506",1,506,10,-0.136
"507",1,507,5,0.111
"508",1,508,9,-0.161
"509",1,509,8,-0.095
"510",1,510,6,0.13
"511",1,511,9,-0.024
"512",1,512,5,0.008
"513",1,513,1,-0.132
"514",1,514,8,-0.115
"515",1,515,7,0.065
"516",1,516,3,0.013
"517",1,517,7,-0.029
"518",1,518,6,-0.103
"519",1,519,4,-0.08
"520",1,520,7,0.234
"521",1,521,8,-0.003
"522",1,522,7,0.107
"523",1,523,4,0.109
"524",1,524,2,0.106
"525",1,525,4,0.059
"526",1,526,9,-0.095
"527",1,527,8,-0.071
"528",1,528,8,0.105
"529",1,529,10,-0.101
"530",1,530,10,0.083
"531",1,531,6,-0.023
"532",1,532,1,-0.01
"533",1,533,4,-0.049
"534",1,534,3,0.007
"535",1,535,2,0.118
"536",1,536,1,0.075
"537",1,537,4,0.007
"538",1,538,4,0.117
"539",1,539,3,0.196
"540",1,540,7,0.029
"541",1,541,5,0.077
"542",1,542,10,0.058
"543",1,543,7,-0.068
"544",1,544,4,-0.063
"545",1,545,3,0.222
"546",1,546,2,0.118
"547",1,547,10,0.104
"548",1,548,4,0.045
"549",1,549,6,0.079
"550",1,550,8,0.045
"551",1,551,9,0.034
"552",1,552,6,0.052
"553",1,553,1,-0.071
"554",1,554,9,0.27
"555",1,555,8,0.11
"556",1,556,4,0.005
"557",1,557,2,0.151
"558",1,558,1,-0.033
"559",1,559,8,0.201
"560",1,560,8,-0.009
"561",1,561,7,-0.202
"562",1,562,2,0.166
"563",1,563,4,0.143
"564",1,564,8,-0.047
"565",1,565,9,-0.111
"566",1,566,7,-0.153
"567",1,567,3,0.003
"568",1,568,7,-0.153
"569",1,569,4,-0.051
"570",1,570,10,0.046
"571",1,571,2,0.116
"572",1,572,5,-0.052
"573",1,573,3,0.018
"574",1,574,2,0.055
"575",1,575,8,0.202
"576",1,576,6,-0.066
"577",1,577,7,-0.13
"578",1,578,5,-0.155
"579",1,579,9,0.086
"580",1,580,8,0.024
"581",1,581,4,0.107
"582",1,582,10,0.016
"583",1,583,7,0.069
"584",1,584,1,0.052
"585",1,585,6,0.032
"586",1,586,5,-0.032
"587",1,587,2,0.156
"588",1,588,6,-0.011
"589",1,589,10,0.097
"590",1,590,7,0.046
"591",1,591,6,0.208
"592",1,592,3,0.101
"593",1,593,8,-0.004
"594",1,594,7,0.029
"595",1,595,8,0.017
"596",1,596,7,-0.179
"597",1,597,5,0.2
"598",1,598,5,0.136
"599",1,599,4,-0.047
"600",1,600,5,0.068
"601",1,601,8,0.054
"602",1,602,9,-0.083
"603",1,603,2,0.179
"604",1,604,8,0.005
"605",1,605,10,0.048
"606",1,606,10,0.07
"607",1,607,4,-0.069
"608",1,608,5,-0.079
"609",1,609,10,0.025
"610",1,610,2,0.088
"611",1,611,9,0.037
"612",1,612,4,0.101
"613",1,613,6,0.063
"614",1,614,6,0.085
"615",1,615,7,-0.11
"616",1,616,5,0.098
"617",1,617,2,-0.049
"618",1,618,4,-0.017
"619",1,619,7,0.02
"620",1,620,2,-0.135
"621",1,621,9,0.02
"622",1,622,3,-0.014
"623",1,623,6,-0.042
"624",1,624,2,-0.025
"625",1,625,4,0.155
"626",1,626,7,-0.096
"627",1,627,3,0.008
"628",1,628,7,-0.217
"629",1,629,5,-0.037
"630",1,630,9,-0.02
"631",1,631,9,0.184
"632",1,632,4,-0.066
"633",1,633,4,-0.057
"634",1,634,8,-0.11
"635",1,635,5,0.048
"636",1,636,4,0.145
"637",1,637,2,-0.09
"638",1,638,2,-0.013
"639",1,639,7,0.167
"640",1,640,7,-0.038
"641",1,641,9,0.099
"642",1,642,4,0.069
"643",1,643,9,-0.101
"644",1,644,3,0.152
"645",1,645,8,0.11
"646",1,646,3,-0.019
"647",1,647,1,-0.06
"648",1,648,9,-0.009
"649",1,649,7,0.111
"650",1,650,9,-0.026
"651",1,651,7,-0.157
"652",1,652,9,0.016
"653",1,653,4,0.107
"654",1,654,5,-0.086
"655",1,655,6,0.006
"656",1,656,2,-0.092
"657",1,657,3,0.042
"658",1,658,6,0.017
"659",1,659,8,0.027
"660",1,660,9,-0.032
"661",1,661,4,-0.041
"662",1,662,8,0.117
"663",1,663,2,0.041
"664",1,664,7,0.011
"665",1,665,4,-0.291
"666",1,666,6,-0.098
"667",1,667,9,0.106
"668",1,668,3,-0.011
"669",1,669,4,-0.091
"670",1,670,7,-0.014
"671",1,671,8,-0.008
"672",1,672,6,-0.02
"673",1,673,8,0.08
"674",1,674,6,0.182
"675",1,675,6,0.129
"676",1,676,5,0.155
"677",1,677,4,-0.003
"678",1,678,2,0.114
"679",1,679,4,-0.068
"680",1,680,3,0.016
"681",1,681,8,0.249
"682",1,682,8,0.029
"683",1,683,2,-0.001
"684",1,684,6,-0.028
"685",1,685,6,0.107
"686",1,686,6,0.241
"687",1,687,4,0.071
"688",1,688,5,0.004
"689",1,689,1,0.237
"690",1,690,9,-0.048
"691",1,691,2,0.143
"692",1,692,6,-0.012
"693",1,693,8,-0.072
"694",1,694,6,0.152
"695",1,695,5,-0.15
"696",1,696,6,-0.001
"697",1,697,8,0.032
"698",1,698,3,-0.014
"699",1,699,10,-0.134
"700",1,700,5,-0.034
"701",1,701,9,-0.126
"702",1,702,9,0.222
"703",1,703,8,-0.156
"704",1,704,7,-0.181
"705",1,705,7,0.1
"706",1,706,2,0.121
"707",1,707,5,0.01
"708",1,708,6,0.009
"709",1,709,9,0.103
"710",1,710,7,0.17
"711",1,711,8,-0.129
"712",1,712,5,0.16
"713",1,713,2,0.05
"714",1,714,8,-0.004
"715",1,715,5,0.157
"716",1,716,5,0.124
"717",1,717,1,0.158
"718",1,718,2,0.001
"719",1,719,5,0.108
"720",1,720,8,0.06
"721",1,721,1,-0.022
"722",1,722,6,0.206
"723",1,723,9,0.046
"724",1,724,7,0.025
"725",1,725,3,0.083
"726",1,726,9,0.069
"727",1,727,4,-0.041
"728",1,728,6,0.025
"729",1,729,5,0.291
"730",1,730,1,0.023
"731",1,731,8,0
"732",1,732,6,0.103
"733",1,733,8,0.07
"734",1,734,1,-0.024
"735",1,735,7,-0.078
"736",1,736,4,0.115
"737",1,737,4,0.042
"738",1,738,8,0.078
"739",1,739,2,0.001
"740",1,740,1,-0.135
"741",1,741,4,0.037
"742",1,742,6,0.269
"743",1,743,6,-0.116
"744",1,744,3,-0.068
"745",1,745,3,-0.104
"746",1,746,4,-0.007
"747",1,747,5,0.168
"748",1,748,9,0.015
"749",1,749,2,0.004
"750",1,750,7,-0.099
"751",1,751,5,0.037
"752",1,752,9,0.134
"753",1,753,6,0.256
"754",1,754,2,0.161
"755",1,755,5,-0.057
"756",1,756,3,-0.02
"757",1,757,5,0.091
"758",1,758,3,0.029
"759",1,759,10,0.058
"760",1,760,5,-0.101
"761",1,761,8,-0.013
"762",1,762,2,-0.063
"763",1,763,9,-0.063
"764",1,764,3,-0.042
"765",1,765,3,-0.011
"766",1,766,2,0.029
"767",1,767,6,0.093
"768",1,768,8,-0.021
"769",1,769,9,-0.056
"770",1,770,7,0.192
"771",1,771,5,0.129
"772",1,772,8,0.1
"773",1,773,1,0.2
"774",1,774,10,-0.068
"775",1,775,7,0.235
"776",1,776,5,0.153
"777",1,777,1,0.061
"778",1,778,8,0.092
"779",1,779,3,0.036
"780",1,780,10,0.019
"781",1,781,9,-0.128
"782",1,782,7,0.104
"783",1,783,8,0.244
"784",1,784,5,0.239
"785",1,785,9,0.047
"786",1,786,2,0.019
"787",1,787,7,0.048
