fixed.acidity,volatile.acidity,citric.acid,residual.sugar,chlorides,free.sulfur.dioxide,total.sulfur.dioxide,density,pH,sulphates,alcohol,quality,color
0.07400000000000001,0.7,0,0.019,0.076,0.11,0.34,0.9978,0.0351,0.56,0.094,5,Red
0.078,0.88,0,0.026000000000000002,0.098,0.25,0.67,0.9968,0.032,0.68,0.098,5,Red
0.078,0.76,0.04,0.023,0.092,0.15,0.54,0.997,0.0326,0.65,0.098,5,Red
0.11199999999999999,0.28,0.56,0.019,0.075,0.17,0.6,0.998,0.0316,0.58,0.098,6,Red
0.07400000000000001,0.7,0,0.019,0.076,0.11,0.34,0.9978,0.0351,0.56,0.094,5,Red
0.07400000000000001,0.66,0,0.018000000000000002,0.075,0.13,0.4,0.9978,0.0351,0.56,0.094,5,Red
0.079,0.6,0.06,0.016,0.069,0.15,0.59,0.9964,0.033,0.46,0.094,5,Red
0.073,0.65,0,0.012,0.065,0.15,0.21,0.9946,0.0339,0.47,0.1,7,Red
0.078,0.58,0.02,0.02,0.073,0.09,0.18,0.9968,0.0336,0.57,0.095,7,Red
0.075,0.5,0.36,0.061,0.071,0.17,1.02,0.9978,0.0335,0.8,0.105,5,Red
0.067,0.58,0.08,0.018000000000000002,0.097,0.15,0.65,0.9959,0.032799999999999996,0.54,0.092,5,Red
0.075,0.5,0.36,0.061,0.071,0.17,1.02,0.9978,0.0335,0.8,0.105,5,Red
0.055999999999999994,0.615,0,0.016,0.089,0.16,0.59,0.9943,0.0358,0.52,0.099,5,Red
0.078,0.61,0.29,0.016,0.114,0.09,0.29,0.9974,0.0326,1.56,0.091,5,Red
0.08900000000000001,0.62,0.18,0.038,0.176,0.52,1.45,0.9986,0.0316,0.88,0.092,5,Red
0.08900000000000001,0.62,0.19,0.039,0.17,0.51,1.48,0.9986,0.0317,0.93,0.092,5,Red
0.085,0.28,0.56,0.018000000000000002,0.092,0.35,1.03,0.9969,0.033,0.75,0.105,7,Red
0.081,0.56,0.28,0.017,0.368,0.16,0.56,0.9968,0.0311,1.28,0.09300000000000001,5,Red
0.07400000000000001,0.59,0.08,0.044000000000000004,0.086,0.06,0.29,0.9974,0.0338,0.5,0.09,4,Red
0.079,0.32,0.51,0.018000000000000002,0.341,0.17,0.56,0.9969,0.0304,1.08,0.092,6,Red
0.08900000000000001,0.22,0.48,0.018000000000000002,0.077,0.29,0.6,0.9968,0.0339,0.53,0.094,6,Red
0.076,0.39,0.31,0.023,0.082,0.23,0.71,0.9982,0.0352,0.65,0.09699999999999999,5,Red
0.079,0.43,0.21,0.016,0.106,0.1,0.37,0.9966,0.0317,0.91,0.095,5,Red
0.085,0.49,0.11,0.023,0.084,0.09,0.67,0.9968,0.0317,0.53,0.094,5,Red
0.069,0.4,0.14,0.024,0.085,0.21,0.4,0.9968,0.034300000000000004,0.63,0.09699999999999999,6,Red
0.063,0.39,0.16,0.013999999999999999,0.08,0.11,0.23,0.9955,0.0334,0.56,0.09300000000000001,5,Red
0.076,0.41,0.24,0.018000000000000002,0.08,0.04,0.11,0.9962,0.032799999999999996,0.59,0.095,5,Red
0.079,0.43,0.21,0.016,0.106,0.1,0.37,0.9966,0.0317,0.91,0.095,5,Red
0.071,0.71,0,0.019,0.08,0.14,0.35,0.9972,0.0347,0.55,0.094,5,Red
0.078,0.645,0,0.02,0.082,0.08,0.16,0.9964,0.0338,0.59,0.098,6,Red
0.067,0.675,0.07,0.024,0.089,0.17,0.82,0.9958,0.0335,0.54,0.10099999999999999,5,Red
0.069,0.685,0,0.025,0.105,0.22,0.37,0.9966,0.0346,0.57,0.106,6,Red
0.083,0.655,0.12,0.023,0.083,0.15,1.13,0.9966,0.0317,0.66,0.098,5,Red
0.069,0.605,0.12,0.107,0.073,0.4,0.83,0.9993,0.0345,0.52,0.094,6,Red
0.052000000000000005,0.32,0.25,0.018000000000000002,0.103,0.13,0.5,0.9957,0.0338,0.55,0.092,5,Red
0.078,0.645,0,0.055,0.086,0.05,0.18,0.9986,0.034,0.55,0.096,6,Red
0.078,0.6,0.14,0.024,0.086,0.03,0.15,0.9975,0.0342,0.6,0.10800000000000001,6,Red
0.081,0.38,0.28,0.021,0.066,0.13,0.3,0.9968,0.0323,0.73,0.09699999999999999,7,Red
0.057,1.13,0.09,0.015,0.172,0.07,0.19,0.994,0.035,0.48,0.098,4,Red
0.073,0.45,0.36,0.059000000000000004,0.074,0.12,0.87,0.9978,0.0333,0.83,0.105,5,Red
0.073,0.45,0.36,0.059000000000000004,0.074,0.12,0.87,0.9978,0.0333,0.83,0.105,5,Red
0.08800000000000001,0.61,0.3,0.027999999999999997,0.088,0.17,0.46,0.9976,0.0326,0.51,0.09300000000000001,4,Red
